what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1352429673480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429681940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429691034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429692746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429738659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429741673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429750785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352429752534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429754254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429761003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352429763260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429764200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429766604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1352429768594
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1352429769598
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1352429769845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1352429777433
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1352429778209
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1352429779518
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1352429781828
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1352429781984
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1352429782004
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1352429782117
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1352429782323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429782353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429783178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429783225
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1352429785615
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1352429800146
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1352429801382
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1352429801566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429801593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429805046
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1352429824943
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1352429824944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429826292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429879987
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1352429890605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352429898174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430037493
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1352430037955
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1352430047459
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1352430051889
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1352430051951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430053084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430081620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430082381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430114800
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1352430114907
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1352430116148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430128831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430152067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430154965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430178201
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1352430178261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430190159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430245828
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1352430246641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430252978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430346020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430347821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430351137
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1352430351228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430362942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430417258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352430420130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431132945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431143717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431148060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431171696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431180326
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.refactor.migrate.jar",1352431180462
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431189649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352431191902
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1352431191980
